County, Population
"Autauga","54,571"
"Baldwin","182,265"
"Barbour","27,457"
"Bibb","22,915"
"Blount","57,322"
"Bullock","10,914"
"Butler","20,947"
"Calhoun","118,572"
"Chambers","34,215"
"Cherokee","25,989"
"Chilton","43,643"
"Choctaw","13,859"
"Clarke","25,833"
"Clay","13,932"
"Cleburne","14,972"
"Coffee","49,948"
"Colbert","54,428"
"Conecuh","13,228"
"Coosa","11,539"
"Covington","37,765"
"Crenshaw","13,906"
"Cullman","80,406"
"Dale","50,251"
"Dallas","43,820"
"DeKalb","71,109"
"Elmore","79,303"
"Escambia","38,319"
"Etowah","104,430"
"Fayette","17,241"
"Franklin","31,704"
"Geneva","26,790"
"Greene","9,045"
"Hale","15,760"
"Henry","17,302"
"Houston","101,547"
"Jackson","53,227"
"Jefferson","658,466"
"Lamar","14,564"
"Lauderdale","92,709"
"Lawrence","34,339"
"Lee","140,247"
"Limestone","82,782"
"Lowndes","11,299"
"Macon","21,452"
"Madison","334,811"
"Marengo","21,027"
"Marion","30,776"
"Marshall","93,019"
"Mobile","412,992"
"Monroe","23,068"
"Montgomery","229,363"
"Morgan","119,490"
"Perry","10,591"
"Pickens","19,746"
"Pike","32,899"
"Randolph","22,913"
"Russell","52,947"
"St","83,593"
"Shelby","195,085"
"Sumter","13,763"
"Talladega","82,291"
"Tallapoosa","41,616"
"Tuscaloosa","194,656"
"Walker","67,023"
"Washington","17,581"
"Wilcox","11,670"
"Winston","24,484"
"Aleutians","3,141"
"Aleutians","5,561"
"Anchorage","291,826"
"Bethel","17,013"
"Bristol","997"
"Denali","1,826"
"Dillingham","4,847"
"Fairbanks","97,581"
"Haines","2,508"
"Hoonah-Angoon","2,150"
"Juneau","31,275"
"Kenai","55,400"
"Ketchikan","13,477"
"Kodiak","13,592"
"Kusilvak","7,459"
"Lake","1,631"
"Matanuska-Susitna","88,995"
"Nome","9,492"
"North","9,430"
"Northwest","7,523"
"Petersburg","3,815"
"Prince","5,559"
"Sitka","8,881"
"Skagway","968"
"Southeast","7,029"
"Valdez-Cordova","9,636"
"Wrangell","2,369"
"Yakutat","662"
"Yukon-Koyukuk","5,588"
"Apache","71,518"
"Cochise","131,346"
"Coconino","134,421"
"Gila","53,597"
"Graham","37,220"
